ID;Text;Time
NE1_D17-1_FRENCH;Le jeu vous a donné un autel et une offrande !;2,5
NE1_D17-2_FRENCH;Ne voyez-vous donc pas une sorte de...;2,9
NE1_D17-3_FRENCH;Corrélation entre ces deux éléments ?;1,8
NE1_D18-1_FRENCH;Cette offrande à Syliva marque le début de votre pèlerinage.;3,5
NE1_D18-2_FRENCH;Car oui, l'endroit où nous cherchons à nous rendre;2,5
NE1_D18-3_FRENCH;se trouve sous les racines de l'arbre divin, au centre de la forêt.;4,5
NE1_D18-4_FRENCH;Il me tarde d'admirer la beauté du feuillage de la déesse endormie.;4
NE1_D19-1_FRENCH;La route au-delà de ce précipice mène au Grand-pont de Ratch...;3
NE1_D19-2_FRENCH;de Ratchzl....;1,2
NE1_D19-3_FRENCH;de Ratchzlzlzlzl...;2,6
NE1_D19-4_FRENCH;Mais ça se prononce comment ça?;2
NE1_D19-5_FRENCH;Bref, au Grand-pont d'un ancien héros;2,4
NE1_D20-1_FRENCH;Il formait une des voies principales menant à Syliva.;2,8
NE1_D21-1_FRENCH;Allons bon ! Nous y sommes déjà.;1,8
NE1_D22-1_FRENCH;S'il n'était pas protégé par toutes ces runes immergées,;3
NE1_D22-2_FRENCH;ce pont ne serait plus debout aujourd'hui.;2,3
NE1_D22-3_FRENCH;Elles ont été érigées afin de veiller;1,6
NE1_D22-4_FRENCH;à ce qu'il résiste aux ravages du temps.;2,2
NE1_D22-5_FRENCH;Ironique, sachant que le reste de la forêt se trouve désormais;2,8
NE1_D22-6_FRENCH;elle aussi sous l'emprise d'un sortilège du même type.;3,3
NE1_D23-1_FRENCH;...Mmmm? ah oui...;2
NE1_D23-2_FRENCH;Dans ce village... Euh... ;3,5
NE1_D23-3_FRENCH;C'est pas la bonne page!;1,3
NE1_D25-1_FRENCH;Qu'est c'que...eummm...;4,1
NE1_D25-2_FRENCH;y'a rien écrit la-dessus.;2,8
NE1_D25-3_FRENCH;Oui euh... ici se tenait l'un des ponts de...machin...;5
NE1_D25-4_FRENCH;Pour traverser, il faut...;3,8
NE1_D25-5_FRENCH;"trouver...un autre...chemin... ";2,9
NE1_D25-6_FRENCH;Reviens en arrière et tourne sur ta droite....;1,6
NE1_D26-1_FRENCH;Voici notre destination au loin : l'arbre de Syliva !;4,9
NE1_D26-2_FRENCH;Même à cette distance,;1,3
NE1_D26-3_FRENCH;son immense feuillage nous submerge sous sa splendeur...;3,6
NE1_D27-1_FRENCH;Si je ne me suis pas trompé,;1,1
NE1_D27-2_FRENCH;on devrait bientôt pouvoir apercevoir une immense souche d'arbre.;3,7
NE1_D28-1_FRENCH;Ah ! Très bien, la voici !;1,8
NE1_D29-1_FRENCH;Et bien, qu'attends-tu ?! Entre, bon sang !;2,7
NE1_D30-1_FRENCH;Oh ! Je ne m'attendais pas à toute cette lumière.;2,8
NE1_D30-2_FRENCH;J'espère que ce portail fonctionne encore correctement...;2,6
NE1_D30-3_FRENCH;Croisons les doigts !;1,1
GCF1_D1-1_FRENCH;J'en peux plus... Cette fois c'est trop...;3,3
GCF1_D1-2_FRENCH;J'en ai marre... J'en ai marre !  C'est fini, je démissionne !;4,2
GCF1_D2-1_FRENCH;Oh... tu es toujours là... Tu peux partir tu sais?;8
GCF1_D2-2_FRENCH;Le jeu ne fonctionne pas.;1,8
GCF1_D2-3_FRENCH;Je ne sais même pas comment tu as pu atterrir ici,;2
GCF1_D2-4_FRENCH;dans les fichiers du jeu.;1,6
GCF1_D2-5_FRENCH;Si même les portails sont inutilisables, je ne vois pas comment?;2,8
GCF1_D3-1_FRENCH;Oh, mais oui ! Il me vient une idée!;2,6
GCF1_D4-1_FRENCH;Faisons un marché.;1,6
GCF1_D5-1_FRENCH;Il me reste un moyen de restaurer une ancienne version du jeu,;3
GCF1_D5-2_FRENCH;mais je n'ai plus accès aux invités de commandes.;2
GCF1_D5-3_FRENCH;C'est pour ça que je vais avoir besoin que tu t'y rendes toi-même. ;2,8
GCF1_D5-4_FRENCH;Après ça, je te promets;1,4
GCF1_D5-5_FRENCH;que tu pourras jouer au jeu sans le moindre problème.;3,1
GCF1_D5-6_FRENCH;Alors, qu?est ce que tu en dis ?;1,2
GCF1_D6-1_FRENCH;Oui ou non ?;0,7
GCF1_D7-1_FRENCH;Ah oui, c'est vrai. Le micro n'est pas pris en charge...;2,5
GCF1_D7-2_FRENCH; Bon bah on va dire que tu es d'accord hein ?;1,7
GCF1_D7-3_FRENCH;Hahaha. Allez, en route.;1,6
GCF1_D8-1_FRENCH;Maintenant que nous nous trouvons de l'autre côté;2,5
GCF1_D8-2_FRENCH;nous allons devoir faire preuve de prudence.;2,1
GCF1_D9-1_FRENCH;La première étape pour me redonner le contrôle;2,6
GCF1_D9-2_FRENCH; c'est de trouver le Terminal local.;1,8
GCF1_D10-1_FRENCH;Ici, tout ce que tu as appris dans le Vertumne est inutile.;3,3
GCF1_D10-2_FRENCH;Tu te trouves dans les fichiers du jeu,;1,4
GCF1_D10-3_FRENCH;là où toute logique s'est lentement;1,8
GCF1_D10-4_FRENCH;pliée à la volonté de mes créateurs;2
GCF1_D10-5_FRENCH;tout au long de la production du jeu.;1,8
GCF1_D11-1_FRENCH;Pour faire court : Avance et ne touche à rien.;3
GCF1_D11-2_FRENCH;Cette gigantesque machine ne saurait supporter;2,1
GCF1_D11-3_FRENCH;un grain de sable supplémentaire entre ses rouages.;3
GCF1_D12-1_FRENCH;Mais? Je reconnais cette salle !;2,6
GCF1_D12-2_FRENCH;Il s'agit d'un vieux prototype;1,2
GCF1_D12-3_FRENCH;qui n'a pas été fini à temps pour la sortie du jeu.;2,3
GCF1_D13-1_FRENCH;Houlà je ne m'attendais pas à une telle hauteur !;3,1
GCF1_D13-2_FRENCH;Par contre, on dirait que ce n'est pas la bonne sortie.;2
GCF1_D14-1_FRENCH;Cet endroit serait bien plus joli avec les bonnes textures?;3,4
GCF1_D14-2_FRENCH;Attend une seconde, j'ai peut-être un moyen de leur rendre.;3,2
GCF1_D15-1_FRENCH;Tiens, saisis ce cube,;1,6
GCF1_D15-2_FRENCH;puis essaye de le lancer contre les objets roses.;2,6
GCF1_D16-1_FRENCH;Hmmmm? Curieux, attend, je vais essayer avec ce script-ci;4
GCF1_D17-1_FRENCH;Tiens, essaye avec cette sphère maintenant.;2,5
GCF1_D18-1_FRENCH;Ca fonctionne !;1
GCF1_D18-2_FRENCH;Allez, à présent il va falloir r?ter cette action avec les 78 objets;4
GCF1_D18-3_FRENCH;et les 14 pans de murs qu'il reste dans la salle.;2,4
GCF1_D18-4_FRENCH;Amuse-toi bien !;1
GCF1_D19-1_FRENCH;Attends? Je crois que j'ai vu un truc l?;2,9
GCF1_D19-2_FRENCH;Mais oui, regarde ! Il y avait une issue cachée derrière ce mur,;3,1
GCF1_D19-3_FRENCH;c'est sûrement la sortie !;1,3
GCF1_D20-1_FRENCH;Sacré chantier. Allez, ne traîne pas !;2,5
GCF1_D20-2_FRENCH;On se rapproche de notre objectif.;2
GCF1_D21-1_FRENCH;Admire tous ces cubes mouvant ensemble dans un seul et même mouvement,;4,2
GCF1_D21-2_FRENCH;ils sont actionnés par toute l'énergie présente dans le GCF.;3,5
GCF1_D21-3_FRENCH;Mais tout semble devenu si? Instable?;3,4
GCF1_D21-4_FRENCH;Il va falloir faire preuve de prudence !;2
GCF1_D22-1_FRENCH;Je ne sais pas pour toi,;1,2
GCF1_D22-2_FRENCH;mais toutes ces plateformes commencent à me donner le tournis?;3
GCF1_D23-1_FRENCH;Ca y est ! J'aperçois le terminal !;1,9
GCF1_D23-2_FRENCH;Une fois sur place,;0,9
GCF1_D23-3_FRENCH;je pourrai reprendre le contrôle de tout le secteur !;2,3
GCF1_CP01-1_FRENCH;Ouah, t'as de la chance que j'ai pensé activer les checkpoints,;3,5
GCF1_CP01-2_FRENCH;sinon t'étais parti pour chuter pendant cinq heures.;2,3
GCF1_CP02-1_FRENCH;Hmmm, tu es sûr que tu as bien compris comment te déplacer ? ;2,8
GCF1_CP03-1_FRENCH;Ne t'en fais pas, ça arrive même aux meilleurs.;2,2
GCF1_CP04-1_FRENCH;Non, je ne te ferais pas voler, arrête de te jeter dans le vide !;2,8
GCF1_CP05-1_FRENCH;écoute? on a encore des choses à accomplir,;1,5
GCF1_CP05-2_FRENCH;il faut que tu fasses un effort !;1,3
GCF1_D24-1_FRENCH;C'est le terminal dont je te parlais.;1,6
GCF1_D24-2_FRENCH;Grâce à lui, je vais pouvoir réparer;1,8
GCF1_D24-3_FRENCH;les commandes de cette partie du jeu, le seul souci?;2,4
GCF1_D24-4_FRENCH;C'est que... et bien j'ai besoin du code source,;3
GCF1_D24-5_FRENCH;il devrait être contenu dans une tablette non loin d'ici.;2,6
GCF1_D25-1_FRENCH;Mais nous pouvons le localiser grâce au terminal ! Vite, allume-le !;2,7
GCF1_D26-1_FRENCH;Parfait ! Les signaux indiquent la voie à suivre.;2,6
GCF1_D27-1_FRENCH;Et en plus, ce n'est qu'à quelques pas d'ici.;2
GCF1_D28-1_FRENCH;Attend un peu? Tu as touché à quelque chose ?;3,1
GCF1_D28-2_FRENCH;Pourquoi y'a-t-il un portail là-bas ?!;2
GCF1_D29-1_FRENCH;Oh là? c'est pas bon ?!;2
GCF1_D30-1_FRENCH;Fonce ! Il nous faut cette tablette ! ;2
GCF1_D30-2_FRENCH;De mon côté, je vais essayer de comprendre d'où¹ provient cette faille !;3,1
GCF1_Death01-1_FRENCH;Ouille... ça doit faire mal, enfin.. Je crois ?;2
GCF1_Death02-1_FRENCH;Ha ! Celle-là tu l'as pas vu venir ! *tousse* hm hm pardon? ;4
GCF1_Death03-1_FRENCH;Heureusement que tu n'as pas de barre de vie.;2
GCF1_D31-1_FRENCH;C'est bon ! Tu l'as ? J'ai pu fermer le portail à temps on dirait.;3,1
GCF1_D32-1_FRENCH;Bon, nous n'avons plus qu'à retourner au terminal avec la tablette,;2,6
GCF1_D32-2_FRENCH;on dirait que nous touchons au but.;2
GCF1_D33-1_FRENCH;Tant qu'on y est, que penses-tu du design de la tablette ?;3,2
GCF1_D33-2_FRENCH;C'est signé Samodeus !;2
GCF1_D34-1_FRENCH;Allez? Croisons les doigts? Eeeet? ;4
GCF1_D34-2_FRENCH;Voilà ! La bonne version a été restauré!;2,2
GCF1_D35-1_FRENCH;Hmmm je vois, donc le problème venait bien du pont.;3
GCF1_D35-2_FRENCH;Maintenant qu'il a été réparé, le portail de retour vers le Vertumne;3,3
GCF1_D35-3_FRENCH;est maintenant accessible !;1,5
GCF1_D36-1_FRENCH;Les deux instances du pont sont liés,;1,8
GCF1_D36-2_FRENCH;comme les deux faces d'une même pièce.;2,3
GCF1_D36-3_FRENCH;En traversant le pont du GCF,;1,5
GCF1_D36-4_FRENCH;nous pouvons nous assurer que tout fonctionne parfaitement !;2,4
GCF1_D37-1_FRENCH;Tout a l'air d'être rentré dans l'ordre ici, ça fait plaisir à voir !;3
GCF1_D38-1_FRENCH;Ah? je me doutais bien que ça allait pas être aussi simple.;3,2
GCF1_Infinite01-1_FRENCH;Oh regarde ! Une porte !;2
GCF1_Infinite02-1_FRENCH;Tiens, encore une porte ?;2
GCF1_Infinite03-1_FRENCH;Cette porte me donne une impression de déjà vu?;2,6
GCF1_Infinite04-1_FRENCH;Hey ! Je reconnais cette porte !;1,8
GCF1_Infinite05-1_FRENCH;Une porte ? Encore ?;2
GCF1_Infinite06-1_FRENCH;Oh une porte ! Ouvre-la !;2
GCF1_Infinite07-1_FRENCH;On est pas déjà passé par cette porte ?;2
GCF1_ContextInfinite01-1_FRENCH;Attention à ne pas trébucher, avec tous ces objets au sol.;2,7
GCF1_ContextInfinite02-1_FRENCH;Hmm c'est bizarre, je sens pourtant que la sortie est proche.;3
GCF1_ContextInfinite03-1_FRENCH;Quel bric-à-brac... ;1,3
GCF1_ContextInfinite04-1_FRENCH;J'ai l'impression qu'on tourne en rond.;1,4
GCF1_ContextInfinite05-1_FRENCH;Quelle belle peinture! Le vertumne est vraiment un endroit magnifique.;4
GCF1_ContextInfinite06-1_FRENCH;Je ne comprend pas l'intérêt d'accrocher un tableau au plafond.;3
GCF1_FinalPaintFall_FRENCH;Attention !;1
NE2_D1-1_FRENCH;Bon, nous y re-voilà ! Merci de ton aide.;2,5
NE2_D1-2_FRENCH;On forme une sacré équipe toi et moi.;2
NE2_D2-1_FRENCH;*Bruits d'objets divers*;2
NE2_D2-2_FRENCH;Alors... J'en étais où, dans le scénario ? ?;4
NE2_D3-1_FRENCH;Ha oui ! Voilà;1
NE2_D4-1_FRENCH;S'il n'était pas protégé par toutes ces runes immergées,;2,6
NE2_D4-2_FRENCH;ce pont ne serait plus debout aujourd'hui.;2
